sample,rep,dose,fc,λ̂,λ,cell_count_day_3
Vector Control,1,0.01,0.9788,-0.0071426491378734835,0.24157072081738135,2.064136878353439
Vector Control,2,0.01,0.9305,-0.024011067633277206,0.22470230232197763,1.96227969483845
Vector Control,3,0.01,0.9778,-0.00748337627919729,0.24122999367605755,2.0620280339742467
Vector Control,4,0.01,0.9799,-0.006768251113454758,0.2419451188418001,2.066456607170551
V600E,1,0.01,0.7988,-0.07488155914682565,0.1738318108084292,1.684544890098822
V600E,2,0.01,0.8344,-0.060347458431858104,0.18836591152339674,1.7596197499980686
V600E,3,0.01,0.8734,-0.04512054597689217,0.20359282397836267,1.8418646807865688
V600E,4,0.01,0.7601,-0.09143509180338077,0.15727827815187406,1.6029326126240793
Week 1,1,0.01,0.6558,-0.1406331381905297,0.10808023176472514,1.382980143874321
Week 1,2,0.01,0.6638,-0.1365914598987543,0.11212191005650055,1.3998508989078593
Week 1,3,0.01,0.7324,-0.10380948872726044,0.1449038812279944,1.5445176233204525
Week 1,4,0.01,0.7433,-0.0988851824169631,0.14982818753829175,1.5675040270536484
Week 2 C,1,0.01,0.5369,-0.20731447385120438,0.04139889610405045,1.1322385471883545
Week 2 C,2,0.01,0.5212,-0.217207144577149,0.03150622537810585,1.0991296904350352
Week 2 C,3,0.01,0.5675,-0.18883817654219312,0.05987519341306172,1.1967691851916393
Week 2 C,4,0.01,0.618,-0.16042227384148208,0.08829109611377275,1.3032658263408514
Week 3 C,1,0.01,0.7057,-0.11618835365845083,0.13252501629680402,1.4882114783960174
Week 3 C,2,0.01,0.7325,-0.1037639793636382,0.14494939059161666,1.5447285077583717
Week 3 C,3,0.01,0.714,-0.11229077221418425,0.13642259774107057,1.5057148867433134
Week 3 C,4,0.01,0.7383,-0.10113501097233908,0.14757835898291577,1.556959805157687
Week 4 C,1,0.01,0.6691,-0.13394058439778858,0.11477278555746626,1.4110277741175787
Week 4 C,2,0.01,0.7358,-0.10226564543715434,0.1464477245181005,1.5516876942097062
Week 4 C,3,0.01,0.6795,-0.1287993484636462,0.11991402149160862,1.4329597556611788
Week 4 C,4,0.01,0.7337,-0.10321835108739615,0.1454950188678587,1.5472591210134023
Week 2 I,1,0.01,0.7475,-0.09700699123909849,0.15170637871615633,1.5763611734462564
