sample,rep,day,treatment,dose,log_dose,fc,growth_rate_unnormalised,growth_rate
V600E,1,0,nil,0.01,-4.60517018598809,0.7988,-0.0748815591468256,0.13049664672594
V600E,2,0,nil,0.01,-4.60517018598809,0.8344,-0.0603474584318581,0.145030747440908
V600E,3,0,nil,0.01,-4.60517018598809,0.8734,-0.0451205459768922,0.160257659895874
V600E,4,0,nil,0.01,-4.60517018598809,0.7601,-0.0914350918033808,0.113943114069385
Week 1,1,7,continuous,0.01,-4.60517018598809,0.6558,-0.14063313819053,0.0647450676822363
Week 1,2,7,continuous,0.01,-4.60517018598809,0.6638,-0.136591459898754,0.0687867459740117
Week 1,3,7,continuous,0.01,-4.60517018598809,0.7324,-0.10380948872726,0.101568717145506
Week 1,4,7,continuous,0.01,-4.60517018598809,0.7433,-0.0988851824169631,0.106493023455803
Week 2 C,1,14,continuous,0.01,-4.60517018598809,0.5369,-0.207314473851204,-0.00193626797843836
Week 2 C,2,14,continuous,0.01,-4.60517018598809,0.5212,-0.217207144577149,-0.011828938704383
Week 2 C,3,14,continuous,0.01,-4.60517018598809,0.5675,-0.188838176542193,0.0165400293305729
Week 2 C,4,14,continuous,0.01,-4.60517018598809,0.618,-0.160422273841482,0.0449559320312839
Week 3 C,1,21,continuous,0.01,-4.60517018598809,0.7057,-0.116188353658451,0.0891898522143152
Week 3 C,2,21,continuous,0.01,-4.60517018598809,0.7325,-0.103763979363638,0.101614226509128
Week 3 C,3,21,continuous,0.01,-4.60517018598809,0.714,-0.112290772214184,0.0930874336585818
Week 3 C,4,21,continuous,0.01,-4.60517018598809,0.7383,-0.101135010972339,0.104243194900427
Week 4 C,1,28,continuous,0.01,-4.60517018598809,0.6691,-0.133940584397789,0.0714376214749774
Week 4 C,2,28,continuous,0.01,-4.60517018598809,0.7358,-0.102265645437154,0.103112560435612
Week 4 C,3,28,continuous,0.01,-4.60517018598809,0.6795,-0.128799348463646,0.0765788574091198
Week 4 C,4,28,continuous,0.01,-4.60517018598809,0.7337,-0.103218351087396,0.10215985478537
Week 2 I,1,14,intermittent,0.01,-4.60517018598809,0.7475,-0.0970069912390985,0.108371214633668
Week 2 I,2,14,intermittent,0.01,-4.60517018598809,0.8212,-0.0656628646124528,0.139715341260313
Week 2 I,3,14,intermittent,0.01,-4.60517018598809,0.9092,-0.031730062334583,0.173648143538183
Week 2 I,4,14,intermittent,0.01,-4.60517018598809,0.884,-0.0410994054481645,0.164278800424601
Week 3 I,1,21,intermittent,0.01,-4.60517018598809,0.6055,-0.16723357199633,0.038144633876436
Week 3 I,2,21,intermittent,0.01,-4.60517018598809,0.6641,-0.136440846145156,0.0689373597276097
Week 3 I,3,21,intermittent,0.01,-4.60517018598809,0.5946,-0.173288789472713,0.0320894164000528
Week 3 I,4,21,intermittent,0.01,-4.60517018598809,0.6065,-0.166683516866011,0.0386946890067553
Week 4 I,1,28,intermittent,0.01,-4.60517018598809,0.7755,-0.0847490987885145,0.120629107084252
Week 4 I,2,28,intermittent,0.01,-4.60517018598809,0.8152,-0.0681072656912073,0.137270940181559
Week 4 I,3,28,intermittent,0.01,-4.60517018598809,0.8359,-0.0597487634256755,0.14562944244709
Week 4 I,4,28,intermittent,0.01,-4.60517018598809,0.923,-0.0267086814930949,0.178669524379671
V600E,1,0,nil,0.1,-2.30258509299405,0.857,-0.0514391201281191,0.153939085744647
V600E,2,0,nil,0.1,-2.30258509299405,0.8923,-0.0379842933586771,0.167393912514089
V600E,3,0,nil,0.1,-2.30258509299405,0.9559,-0.0150339913041401,0.190344214568626
V600E,4,0,nil,0.1,-2.30258509299405,1.0408,0.0133298827387195,0.218708088611485
Week 1,1,7,continuous,0.1,-2.30258509299405,0.7338,-0.103172922353652,0.102205283519114
Week 1,2,7,continuous,0.1,-2.30258509299405,0.7656,-0.0890318129477975,0.116346392924968
Week 1,3,7,continuous,0.1,-2.30258509299405,0.7859,-0.0803085737033359,0.12506963216943
Week 1,4,7,continuous,0.1,-2.30258509299405,0.7095,-0.114398260794013,0.0909799450787528
Week 2 C,1,14,continuous,0.1,-2.30258509299405,0.5818,-0.180542844307012,0.0248353615657541
Week 2 C,2,14,continuous,0.1,-2.30258509299405,0.6304,-0.153800246812823,0.0515779590599434
Week 2 C,3,14,continuous,0.1,-2.30258509299405,0.5912,-0.175200303116048,0.0301779027567177
Week 2 C,4,14,continuous,0.1,-2.30258509299405,0.572,-0.18620542920078,0.0191727766719863
Week 3 C,1,21,continuous,0.1,-2.30258509299405,0.6723,-0.132350203169049,0.0730280027037173
Week 3 C,2,21,continuous,0.1,-2.30258509299405,0.6662,-0.135388451074186,0.0699897547985801
Week 3 C,3,21,continuous,0.1,-2.30258509299405,0.7073,-0.115433458313398,0.0899447475593684
Week 3 C,4,21,continuous,0.1,-2.30258509299405,0.7509,-0.0954942639587663,0.109883941914
Week 4 C,1,28,continuous,0.1,-2.30258509299405,0.7166,-0.111079158037095,0.0942990478356715
Week 4 C,2,28,continuous,0.1,-2.30258509299405,0.7307,-0.104584100061655,0.100794105811111
Week 4 C,3,28,continuous,0.1,-2.30258509299405,0.8055,-0.0720973587883693,0.133280847084397
Week 4 C,4,28,continuous,0.1,-2.30258509299405,0.8419,-0.0573646788795063,0.14801352699326
Week 2 I,1,14,intermittent,0.1,-2.30258509299405,0.8637,-0.0488432642319657,0.1565349416408
Week 2 I,2,14,intermittent,0.1,-2.30258509299405,1.0367,0.0120141971156431,0.217392402988409
Week 2 I,3,14,intermittent,0.1,-2.30258509299405,0.8682,-0.047111058705548,0.158267147167218
Week 2 I,4,14,intermittent,0.1,-2.30258509299405,0.7777,-0.0838048110937465,0.12157339477902
Week 3 I,1,21,intermittent,0.1,-2.30258509299405,0.5578,-0.19458493459625,0.0107932712765165
Week 3 I,2,21,intermittent,0.1,-2.30258509299405,0.6048,-0.167619151372271,0.0377590545004948
Week 3 I,3,21,intermittent,0.1,-2.30258509299405,0.6063,-0.166793455301484,0.038584750571282
Week 3 I,4,21,intermittent,0.1,-2.30258509299405,0.5679,-0.188603310699583,0.0167748951731826
Week 4 I,1,28,intermittent,0.1,-2.30258509299405,0.8948,-0.0370516831220542,0.168326522750712
Week 4 I,2,28,intermittent,0.1,-2.30258509299405,0.9261,-0.0255910196019712,0.179787186270795
Week 4 I,3,28,intermittent,0.1,-2.30258509299405,0.8961,-0.0365677550306544,0.168810450842112
Week 4 I,4,28,intermittent,0.1,-2.30258509299405,1.0232,0.00764499042749866,0.213023196300265
V600E,1,0,nil,0.3,-1.20397280432594,0.839,-0.058514857504977,0.146863348367789
